Date,Open,High,Low,Close,Adj Close,Volume
2018-02-05,1122.050049,1134.500000,1081.349976,1117.300049,1117.300049,544060
2018-02-06,1075.000000,1119.000000,1060.099976,1105.699951,1105.699951,706200
2018-02-07,1127.800049,1134.699951,1120.000000,1122.650024,1122.650024,267181
2018-02-08,1129.000000,1174.000000,1125.050049,1165.550049,1165.550049,493415
2018-02-09,1149.949951,1195.000000,1130.000000,1177.800049,1177.800049,469818
2018-02-12,1189.000000,1199.500000,1180.050049,1187.199951,1187.199951,241765
2018-02-14,1196.599976,1208.250000,1182.099976,1201.400024,1201.400024,426463
2018-02-15,1206.949951,1207.000000,1180.449951,1183.949951,1183.949951,269802
2018-02-16,1188.800049,1191.300049,1170.099976,1173.500000,1173.500000,199767
2018-02-19,1179.000000,1179.000000,1162.000000,1168.900024,1168.900024,224464
2018-02-20,1174.800049,1189.699951,1165.199951,1186.800049,1186.800049,293782
2018-02-21,1191.800049,1251.000000,1182.300049,1237.800049,1237.800049,1209483
2018-02-22,1244.699951,1257.000000,1225.199951,1240.650024,1240.650024,559675
2018-02-23,1250.000000,1306.000000,1250.000000,1300.250000,1300.250000,1724635
2018-02-26,1312.000000,1327.349976,1286.099976,1291.199951,1291.199951,856069
2018-02-27,1291.199951,1369.000000,1286.000000,1354.699951,1354.699951,1794604
2018-02-28,1354.000000,1387.000000,1330.500000,1348.150024,1348.150024,1695261
2018-03-01,1353.099976,1365.500000,1305.050049,1314.250000,1314.250000,801383
2018-03-05,1309.500000,1338.000000,1290.099976,1314.300049,1314.300049,698817
2018-03-06,1320.000000,1365.099976,1312.199951,1327.150024,1327.150024,1162430
2018-03-07,1325.000000,1332.849976,1287.250000,1298.800049,1298.800049,620343
2018-03-08,1313.150024,1325.000000,1270.599976,1293.150024,1293.150024,609548
2018-03-09,1300.000000,1328.400024,1281.000000,1306.550049,1306.550049,805817
2018-03-12,1316.099976,1336.699951,1308.099976,1315.650024,1315.650024,524560
2018-03-13,1312.500000,1344.800049,1312.000000,1337.900024,1337.900024,529862
2018-03-14,1336.000000,1363.900024,1327.000000,1345.199951,1345.199951,743796
2018-03-15,1341.000000,1367.000000,1335.000000,1359.800049,1359.800049,630902
2018-03-16,1359.800049,1377.849976,1347.849976,1365.800049,1365.800049,1177277
2018-03-19,1368.000000,1385.000000,1328.000000,1342.550049,1342.550049,862762
2018-03-20,1330.000000,1350.000000,1262.000000,1346.500000,1346.500000,754220
2018-03-21,1350.000000,1354.849976,1331.550049,1339.599976,1339.599976,485353
2018-03-22,1340.000000,1345.699951,1311.050049,1320.449951,1320.449951,501773
2018-03-23,1297.699951,1299.750000,1275.750000,1281.099976,1281.099976,521909
2018-03-26,1288.000000,1352.000000,1282.500000,1341.449951,1341.449951,841975
2018-03-27,1351.949951,1366.000000,1345.050049,1355.199951,1355.199951,502854
2018-03-28,1345.000000,1350.000000,1310.000000,1324.800049,1324.800049,597115
2018-04-02,1328.800049,1393.000000,1326.349976,1357.300049,1357.300049,1129225
2018-04-03,1336.699951,1371.400024,1332.650024,1364.300049,1364.300049,543718
2018-04-04,1369.300049,1385.199951,1350.000000,1359.150024,1359.150024,682255
2018-04-05,1377.800049,1410.000000,1371.300049,1401.300049,1401.300049,1261502
2018-04-06,1400.000000,1424.000000,1385.000000,1419.849976,1419.849976,966666
2018-04-09,1412.000000,1444.400024,1412.000000,1440.500000,1440.500000,698935
2018-04-10,1445.500000,1494.800049,1445.500000,1488.849976,1488.849976,1451168
2018-04-11,1500.000000,1514.000000,1465.000000,1473.000000,1473.000000,1015133
2018-04-12,1470.099976,1487.300049,1460.099976,1471.250000,1471.250000,543880
2018-04-13,1471.150024,1489.800049,1465.000000,1469.099976,1469.099976,428624
2018-04-16,1461.050049,1485.000000,1460.000000,1481.400024,1481.400024,410782
2018-04-17,1490.050049,1518.300049,1482.000000,1506.800049,1506.800049,960273
2018-04-18,1498.000000,1508.000000,1485.250000,1492.650024,1492.650024,434205
2018-04-19,1498.449951,1500.000000,1483.250000,1488.650024,1488.650024,272360
2018-04-20,1482.500000,1491.000000,1468.000000,1475.400024,1475.400024,259880
2018-04-23,1475.000000,1496.400024,1475.000000,1489.500000,1489.500000,374689
2018-04-24,1494.400024,1496.500000,1473.099976,1475.750000,1475.750000,354315
2018-04-25,1472.849976,1499.900024,1466.099976,1480.250000,1480.250000,590984
2018-04-26,1483.000000,1491.300049,1468.000000,1474.349976,1474.349976,780443
2018-04-27,1487.800049,1495.750000,1478.300049,1483.000000,1483.000000,535094
2018-04-30,1493.000000,1534.599976,1485.900024,1490.650024,1490.650024,1364434
2018-05-02,1500.099976,1509.699951,1489.000000,1495.849976,1495.849976,428795
2018-05-03,1495.000000,1504.000000,1475.099976,1492.300049,1492.300049,451382
